bundle_id,created_at,session_id,actor_id,release,task_id,story_id,project_fingerprint,context_hash,git_bundle,path
HND-V123-PACKAGE-BASELINE,2026-07-16T00:30:00Z,SES-V123-PACKAGE-BASELINE,openai-package-builder,P00,TASK-P00-001,STORY-P00-001,FINAL_PACKAGE_MANIFEST,REGENERATED_BY_CONTEXT_COMMAND,,artifacts/handoffs/HND-V123-PACKAGE-BASELINE
HOF-20260717T204509Z-SES-20260717T200842Z-456B8F52,2026-07-17T20:45:09Z,SES-20260717T200842Z-456B8F52,codex-master,R02,TASK-R02-002,STORY-R02-003,0dc1948b96b0f136fba9fc9dc0da763ca4cf2757a7d02ec36122f391f1cbe0a3,58fefc3baea1d72820234d31116e8bf0de423b88166e9a1f7e011f13a991571b,NOT_AVAILABLE,artifacts/handoffs/HOF-20260717T204509Z-SES-20260717T200842Z-456B8F52
HOF-20260717T204650Z-SES-20260717T204616Z-254B60A3,2026-07-17T20:46:50Z,SES-20260717T204616Z-254B60A3,codex-master,R02,TASK-R02-002,STORY-R02-003,0dc1948b96b0f136fba9fc9dc0da763ca4cf2757a7d02ec36122f391f1cbe0a3,6d850400f9113015a09c530a8e7069f8a7c5b31c8675c45581f97f8812a1f328,NOT_AVAILABLE,artifacts/handoffs/HOF-20260717T204650Z-SES-20260717T204616Z-254B60A3
