session_id,task_id,story_id,actor_id,status,started_at,updated_at,closed_at,latest_checkpoint,handoff_bundle,record,session_log
SES-20260717T152721Z-016DB4B2,TASK-R01-007,STORY-R01-003,codex-root,CLOSED,2026-07-17T15:27:21Z,2026-07-17T17:06:18Z,2026-07-17T17:06:18Z,.continuity/checkpoints/SES-20260717T152721Z-016DB4B2/0009.yaml,,.continuity/sessions/SES-20260717T152721Z-016DB4B2.yaml,docs/03-continuity/sessions/2026-07/SES-20260717T152721Z-016DB4B2.md
SES-20260717T171412Z-7CD86701,TASK-R01-008,STORY-R01-003,codex-root,CLOSED,2026-07-17T17:14:12Z,2026-07-17T17:45:22Z,2026-07-17T17:45:22Z,.continuity/checkpoints/SES-20260717T171412Z-7CD86701/0002.yaml,,.continuity/sessions/SES-20260717T171412Z-7CD86701.yaml,docs/03-continuity/sessions/2026-07/SES-20260717T171412Z-7CD86701.md
SES-20260717T183459Z-D64E7407,TASK-R02-001,STORY-R02-009,codex-master,CLOSED,2026-07-17T18:34:59Z,2026-07-17T20:02:12Z,2026-07-17T20:02:12Z,.continuity/checkpoints/SES-20260717T183459Z-D64E7407/0007.yaml,,.continuity/sessions/SES-20260717T183459Z-D64E7407.yaml,docs/03-continuity/sessions/2026-07/SES-20260717T183459Z-D64E7407.md
SES-20260717T200842Z-456B8F52,TASK-R02-002,STORY-R02-003,codex-master,TRANSFERRED,2026-07-17T20:08:42Z,2026-07-17T20:46:15Z,2026-07-17T20:46:15Z,.continuity/checkpoints/SES-20260717T200842Z-456B8F52/0002.yaml,artifacts/handoffs/HOF-20260717T204509Z-SES-20260717T200842Z-456B8F52,.continuity/sessions/SES-20260717T200842Z-456B8F52.yaml,docs/03-continuity/sessions/2026-07/SES-20260717T200842Z-456B8F52.md
SES-20260717T204616Z-254B60A3,TASK-R02-002,STORY-R02-003,codex-master,TRANSFERRED,2026-07-17T20:46:16Z,2026-07-17T21:09:26Z,2026-07-17T21:09:26Z,.continuity/checkpoints/SES-20260717T204616Z-254B60A3/0002.yaml,artifacts/handoffs/HOF-20260717T204650Z-SES-20260717T204616Z-254B60A3,.continuity/sessions/SES-20260717T204616Z-254B60A3.yaml,docs/03-continuity/sessions/2026-07/SES-20260717T204616Z-254B60A3.md
SES-20260717T210927Z-13B07A7D,TASK-R02-002,STORY-R02-003,codex-root,CLOSED,2026-07-17T21:09:27Z,2026-07-18T05:31:36Z,2026-07-18T05:31:36Z,.continuity/checkpoints/SES-20260717T210927Z-13B07A7D/0051.yaml,,.continuity/sessions/SES-20260717T210927Z-13B07A7D.yaml,docs/03-continuity/sessions/2026-07/SES-20260717T210927Z-13B07A7D.md
SES-20260718T053331Z-F0ED92BF,TASK-R02-003,STORY-R02-005,codex-root,CLOSED,2026-07-18T05:33:31Z,2026-07-18T07:05:25Z,2026-07-18T07:05:25Z,.continuity/checkpoints/SES-20260718T053331Z-F0ED92BF/0015.yaml,,.continuity/sessions/SES-20260718T053331Z-F0ED92BF.yaml,docs/03-continuity/sessions/2026-07/SES-20260718T053331Z-F0ED92BF.md
SES-20260718T070836Z-25E39817,TASK-R02-004,STORY-R02-001,codex-root,CLOSED,2026-07-18T07:08:36Z,2026-07-18T08:14:58Z,2026-07-18T08:14:58Z,.continuity/checkpoints/SES-20260718T070836Z-25E39817/0005.yaml,,.continuity/sessions/SES-20260718T070836Z-25E39817.yaml,docs/03-continuity/sessions/2026-07/SES-20260718T070836Z-25E39817.md
SES-20260718T081744Z-71EAAA84,TASK-R02-005,STORY-R02-008,codex-root,CLOSED,2026-07-18T08:17:44Z,2026-07-18T08:45:02Z,2026-07-18T08:45:02Z,.continuity/checkpoints/SES-20260718T081744Z-71EAAA84/0004.yaml,,.continuity/sessions/SES-20260718T081744Z-71EAAA84.yaml,docs/03-continuity/sessions/2026-07/SES-20260718T081744Z-71EAAA84.md
SES-20260718T084729Z-BD53B7C4,TASK-R02-006,STORY-R02-009,codex-root,CLOSED,2026-07-18T08:47:29Z,2026-07-18T10:48:33Z,2026-07-18T10:48:33Z,.continuity/checkpoints/SES-20260718T084729Z-BD53B7C4/0013.yaml,,.continuity/sessions/SES-20260718T084729Z-BD53B7C4.yaml,docs/03-continuity/sessions/2026-07/SES-20260718T084729Z-BD53B7C4.md
SES-20260718T105025Z-0B8DE284,TASK-R02-007,STORY-R02-009,codex-root,CLOSED,2026-07-18T10:50:25Z,2026-07-18T13:23:32Z,2026-07-18T13:23:32Z,.continuity/checkpoints/SES-20260718T105025Z-0B8DE284/0013.yaml,,.continuity/sessions/SES-20260718T105025Z-0B8DE284.yaml,docs/03-continuity/sessions/2026-07/SES-20260718T105025Z-0B8DE284.md
SES-20260718T132650Z-C5038104,TASK-R03-001,STORY-R03-004,codex-root,CLOSED,2026-07-18T13:26:50Z,2026-07-18T13:30:31Z,2026-07-18T13:30:31Z,.continuity/checkpoints/SES-20260718T132650Z-C5038104/0002.yaml,,.continuity/sessions/SES-20260718T132650Z-C5038104.yaml,docs/03-continuity/sessions/2026-07/SES-20260718T132650Z-C5038104.md
SES-20260718T133151Z-12DB5949,TASK-R03-002,STORY-R03-001,codex-root,CLOSED,2026-07-18T13:31:51Z,2026-07-18T14:21:48Z,2026-07-18T14:21:48Z,.continuity/checkpoints/SES-20260718T133151Z-12DB5949/0012.yaml,,.continuity/sessions/SES-20260718T133151Z-12DB5949.yaml,docs/03-continuity/sessions/2026-07/SES-20260718T133151Z-12DB5949.md
SES-20260718T142638Z-EF4C3723,TASK-R03-003,STORY-R03-002,codex-root,CLOSED,2026-07-18T14:26:38Z,2026-07-18T14:52:08Z,2026-07-18T14:52:08Z,.continuity/checkpoints/SES-20260718T142638Z-EF4C3723/0011.yaml,,.continuity/sessions/SES-20260718T142638Z-EF4C3723.yaml,docs/03-continuity/sessions/2026-07/SES-20260718T142638Z-EF4C3723.md
SES-20260718T145327Z-DEA562CB,TASK-R03-004,STORY-R03-003,codex-root,CLOSED,2026-07-18T14:53:27Z,2026-07-18T15:18:35Z,2026-07-18T15:18:35Z,.continuity/checkpoints/SES-20260718T145327Z-DEA562CB/0007.yaml,,.continuity/sessions/SES-20260718T145327Z-DEA562CB.yaml,docs/03-continuity/sessions/2026-07/SES-20260718T145327Z-DEA562CB.md
